Category,CategoryOfSequences_en,FXY1,Title_en,SubTitle_en,FXY2,ElementName_en,ElementDescription_en,Note_en,Status
6,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,2032,Indicator for digitization,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,102000,Delayed replication of 2 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,31001,Delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,7062,Depth below sea/water surface,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306001,"(Depth, temperature)",,22042,Sea/water temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306002,(Current),,2031,Duration and time of current measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306002,(Current),,22004,Direction of current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306002,(Current),,22031,Speed of current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,2002,Type of instrumentation for wind measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,11011,Wind direction at 10 m,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,11012,Wind speed at 10 m,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306003,(Surface wind and temperature),,12004,Air temperature at 2 m,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,2032,Indicator for digitization,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,2033,Method of salinity/depth measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,103000,Delayed replication of 3 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,31001,Delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,7062,Depth below sea/water surface,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,22043,Sea/water temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306004,"(Depth, temperature, salinity)",,22062,Salinity,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,2031,Duration and time of current measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,103000,Delayed replication of 3 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,31001,Delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,7062,Depth below sea/water surface,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,22004,Direction of current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306005,,,22031,Speed of current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306006,(Under water sounding (optional) parameters),,306003,Surface wind and temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306006,(Under water sounding (optional) parameters),,306002,Current,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306006,(Under water sounding (optional) parameters),,22063,Total water depth,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,1012,Direction of motion of moving observing platform,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,1014,Platform drift speed (high precision),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,306008,Buoy instrumentation parameters,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,4024,Time period or displacement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,27003,Alternate latitude (coarse accuracy),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306007,(Buoy spare block parameters),,28003,Alternate longitude (coarse accuracy),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306008,(Buoy instrumentation parameters),,2034,Drogue type,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306008,(Buoy instrumentation parameters),,2035,Cable length,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306008,(Buoy instrumentation parameters),,2036,Buoy type,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306011,"(Sequence for representation of tide station identification, method of transmission, time the message is transmitted and reference time for reports in a time series)",,301021,Latitude/longitude (high accuracy),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306011,"(Sequence for representation of tide station identification, method of transmission, time the message is transmitted and reference time for reports in a time series)",,1075,Tide station identification,Alphanumeric ID (5 characters),,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306011,"(Sequence for representation of tide station identification, method of transmission, time the message is transmitted and reference time for reports in a time series)",,2147,Method of transmission to collection centre,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306011,"(Sequence for representation of tide station identification, method of transmission, time the message is transmitted and reference time for reports in a time series)",,301011,"Year, month, day",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306011,"(Sequence for representation of tide station identification, method of transmission, time the message is transmitted and reference time for reports in a time series)",,301013,"Hour, minute, second",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306012,"(Sequence for representation of sensor type, significant qualifier for sensor and status of operation)",,2007,Type of sensor for water level measuring instrument,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306012,"(Sequence for representation of sensor type, significant qualifier for sensor and status of operation)",,8015,Significant qualifier for sensor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306012,"(Sequence for representation of sensor type, significant qualifier for sensor and status of operation)",,8032,Status of operation,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306012,"(Sequence for representation of sensor type, significant qualifier for sensor and status of operation)",,306029,Sequence for representation of tsunameter sampling information for water column heights in the time series report,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,306012,"Sequence for representation of sensor type, significant qualifier for sensor and status of operation",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,301011,"Year, month, day ",Reference date for the time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,301013,"Hour, minute, second",Reference time for the time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,22120,Tide station automated water level check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,22121,Tide station manual water level check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,4015,Time increment,Added to reset the reference time,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,4065,Short time increment,Added to each data value in the time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,102000,Delayed replication of 2 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,31001,Delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,22038,Tidal elevation with respect to local chart datum,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306013,(Sequence for representation of water level and residual in the time series),,22040,Meteorological residual tidal elevation (surge or offset),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,306012,"Sequence for representation of sensor type, significant qualifier for sensor and status of operation",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,301011,"Year, month, day ",Reference date for the time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,301013,"Hour, minute, second",Reference time for the time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,22120,Tide station automated water level check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,22121,Tide station manual water level check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,4015,Time increment,Added to reset the reference time,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,4065,Short time increment,Added to each data value in the time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,101000,Delayed replication of 1 descriptor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,31001,Delayed descriptor replication factor,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306014,"(Sequence for representation of water level in the time series, similar to 3 06 013 but with no residual)",,22038,Tidal elevation with respect to local chart datum,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,301011,"Year, month, day",Reference date for the time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,301013,"Hour, minute, second",Reference time for the time series,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,10004,Pressure,Station level,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,10051,Pressure reduced to mean sea level,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,302032,Temperature and humidity data,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,7032,Height of sensor above local ground (or deck of marine platform),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,2002,Type of instrumentation for wind measurement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,8021,Time significance,= 2 Time averaged,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,4025,Time period or displacement,"E.g. = 1 for 1 minute, = 10 for 10 minutes",,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,11001,Wind direction,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,11002,Wind speed,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,4025,Time period or displacement,In minutes,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,11043,Maximum wind gust direction,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,11041,Maximum wind gust speed,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,25026,Battery voltage (large range),AWS battery voltage,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306016,(Sequence for representation of ancillary meteorological data associated with water level data),,12060,AWS enclosure internal temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,2032,Indicator for digitization,= 0 Fixed sensor depths,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,8034,Temperature/salinity measurement qualifier,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,106000,Delayed replication of 6 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,31002,Extended delayed descriptor replication factor,Number of depths,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,7065,Water pressure,In Pa,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,8080,Qualifier for GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,22045,Sea/water temperature,In K to 3 decimal places,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,8080,Qualifier for GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306017,(Subsurface temperature profile (high accuracy/precision) with quality flags),,8034,Temperature/salinity measurement qualifier,Set to missing (cancel),,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,2032,Indicator for digitization,= 0 Fixed sensor depths,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,8034,Temperature/salinity measurement qualifier,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,109000,Delayed replication of 9 descriptors,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,31002,Extended delayed descriptor replication factor,Number of depths,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,7065,Water pressure,In Pa,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,8080,Qualifier for GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,22045,Sea/water temperature,In K to 3 decimal places,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,8080,Qualifier for GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,22064,Salinity,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,8080,Qualifier for GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,33050,Global GTSPP quality flag,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306018,(Subsurface temperature profile (high accuracy/precision) with quality flags),,8034,Temperature/salinity measurement qualifier,Set to missing (cancel),,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,1075,Tide station identification,Alphanumeric,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,301011,"Year, month, day",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,301012,"Hour, minute",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,22042,Sea/water temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,22120,Tide station automated water level check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,22121,Tide station manual water level check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,4015,Time increment,Minutes,(see Note 1),Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306019,"(Tide report identification, water level checks, time increments)",,4065,Short time increment,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment) (see Note 2)",,1075,Tide station identification,Alphanumeric,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,301011,"Year, month, day",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,301012,"Hour, minute",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,22042,Sea/water temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,22120,Tide station automated water level check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,22121,Tide station manual water level check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,4075,Short time period or displacement,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306020,"(Tide report identification, water level checks, time period or displacement, time increment)",,4065,Short time increment,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,1075,Tide station identification,Alphanumeric,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,301011,"Year, month, day",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,301012,"Hour, minute",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,22122,Tide station automated meteorological data check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,22123,Tide station manual meteorological data check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,12001,Temperature/air temperature,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306021,(Meteorological parameters in tide station),,303002,Wind at pressure level,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306022,(Tidal elevation),,1075,Tide station identification,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306022,(Tidal elevation),,301011,"Year, month, day",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306022,(Tidal elevation),,301012,"Hour, minute",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306022,(Tidal elevation),,22038,Tidal elevation with respect to local chart datum,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306022,(Tidal elevation),,22039,Meteorological residual tidal elevation (surge or offset),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,1015,Station or site name,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,301023,Latitude/longitude (coarse accuracy),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,301011,"Year, month, day",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,301012,"Hour, minute",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,22038,Tidal elevation with respect to local chart datum,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,22039,Meteorological residual tidal elevation (surge or offset),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,22120,Tide station automated water level check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306023,,,22121,Tide station manual water level check,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306024,(Tide elevation series) (see Note 3),,306020,"Tide report identification, water level checks, time period or displacement, time increment",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306024,(Tide elevation series),,102006,Replicate 2 descriptors 6 times,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306024,(Tide elevation series),,22038,Tidal elevation with respect to local chart datum,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306024,(Tide elevation series),,22039,Meteorological residual tidal elevation (surge or offset),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306025,(Tide elevation series),,306019,"Tide report identification, water level checks, time increments",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306025,(Tide elevation series),,102006,Replicate 2 descriptors 6 times,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306025,(Tide elevation series),,22038,Tidal elevation with respect to local chart datum,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306025,(Tide elevation series),,22039,Meteorological residual tidal elevation (surge or offset),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306027,"(Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system)",,1005,Buoy/platform identifier,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306027,"(Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system)",,1052,Platform transmitter ID,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306027,"(Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system)",,2047,Deep-ocean tsunameter type,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306027,"(Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system)",,301011,"Year, month, day",Time the message is transmitted to the ground system,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306027,"(Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system)",,301013,"Hour, minute, second",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306028,(Sequence for representation of time of observation and DART buoy position daily report),,306027,"Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306028,(Sequence for representation of time of observation and DART buoy position daily report),,301011,"Year, month, day",Observation time,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306028,(Sequence for representation of time of observation and DART buoy position daily report),,301013,"Hour, minute, second",,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306028,(Sequence for representation of time of observation and DART buoy position daily report),,301021,Latitude/longitude (high accuracy),,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306029,(Sequence for representation of tsunameter sampling information for water column heights in the time series report),,25170,Sampling interval (time),Seconds,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306029,(Sequence for representation of tsunameter sampling information for water column heights in the time series report),,25171,Sample averaging period,Seconds,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306029,(Sequence for representation of tsunameter sampling information for water column heights in the time series report),,25172,Number of samples,,,Operational
6,Meteorological or oceanographic sequences common to oceanographic observations,306030,(Sequence for representation of DART buoy standard hourly report),,306027,"Sequence for representation of DART buoy identification, transmitter ID, type of tsunameter and the time the message is transmitted to the ground system",,,Operational
